condition,seed,mode,commit_count,complete,expected,fvs_size,peak_rss_kib,successful,total_ms,validator_commits_per_second
main-l4-n40-uniform-k1,71,accept_id,39,True,3,1,2052,3,0.058341,668483.570730704
main-l4-n40-uniform-k1,71,accept_static_degree,39,True,3,1,2036,3,0.250945,155412.54059654506
main-l4-n40-uniform-k1,71,adaptive,39,True,3,1,1992,3,0.086141,452746.07910286624
main-l4-n40-uniform-k1,71,graph,39,True,3,1,2052,3,0.074143,526010.5471858436
main-l4-n40-uniform-k1,71,lazy,39,True,3,1,1980,3,0.085706,455043.9875854666
main-l4-n40-uniform-k1,71,paper,39,True,3,1,1984,3,0.057898,673598.3971812498
main-l4-n40-uniform-k1,71,profile,39,True,3,1,1968,3,0.100891,386555.7879295478
main-l4-n40-uniform-k1,101,accept_id,40,True,3,0,2000,3,0.063977,625224.6901230129
main-l4-n40-uniform-k1,101,accept_static_degree,40,True,3,0,2000,3,0.273135,146447.72731433174
main-l4-n40-uniform-k1,101,adaptive,40,True,3,0,2008,3,0.070935,563896.5249876648
main-l4-n40-uniform-k1,101,graph,40,True,3,0,2004,3,0.080932,494242.07977067167
main-l4-n40-uniform-k1,101,lazy,40,True,3,0,2016,3,0.073972,540745.1468123074
main-l4-n40-uniform-k1,101,paper,40,True,3,0,1984,3,0.060266,663724.1562406664
main-l4-n40-uniform-k1,101,profile,40,True,3,0,2036,3,0.072961,548238.0998067461
main-l4-n40-zipf-k1,11,accept_id,13,True,3,27,2012,3,0.07855,165499.6817313813
main-l4-n40-zipf-k1,11,accept_static_degree,14,True,3,26,2016,3,0.410092,34138.68107644138
main-l4-n40-zipf-k1,11,adaptive,14,True,3,26,3980,3,0.39035,35865.24913539132
main-l4-n40-zipf-k1,11,graph,14,True,3,26,1984,3,0.203041,68951.59105796367
